0:00:00:00 Starting a new session
0:00:00:00 Loaded a total of 6 password hashes with 6 different salts
0:00:00:00 Remaining 6 password hashes with 6 different salts
0:00:00:00 - Hash type: Traditional DES (lengths up to 8, longer passwords split)
0:00:00:00 - Algorithm: 24/32 4K
0:00:00:00 - Candidate passwords will be buffered and tried in chunks of 128
0:00:00:00 Proceeding with "single crack" mode
0:00:00:00 - 956 preprocessed word mangling rules
0:00:00:00 - Allocated 6 buffers of 64 candidate passwords each
0:00:00:00 - Rule #1: ':' accepted as ''
0:00:00:00 - Rule #2: '-s x**' rejected
0:00:00:00 - Rule #3: '-c (?acQ' accepted as '(?acQ'
0:00:00:00 - Rule #4: '-c lQ' accepted as 'lQ'
0:00:00:00 - Rule #5: '-s-c x**MlQ' rejected
0:00:00:00 - Rule #907: 'l$1$9<-$4$9' accepted
0:00:00:00 - Rule #908: 'l$1$9<-$4$8' accepted
0:00:00:00 - Rule #909: 'l$1$9<-$4$7' accepted
0:00:00:00 - Rule #910: 'l$1$9<-$4$6' accepted
0:00:00:00 - Rule #911: 'l$1$9<-$4$5' accepted
0:00:00:00 - Rule #912: 'l$1$9<-$4$4' accepted
0:00:00:00 - Rule #913: 'l$1$9<-$4$3' accepted
0:00:00:00 - Rule #914: 'l$1$9<-$4$2' accepted
0:00:00:00 - Rule #915: 'l$1$9<-$4$1' accepted
0:00:00:00 - Rule #916: 'l$1$9<-$4$0' accepted
0:00:00:00 - Rule #917: 'l$1$9<-$3$9' accepted
0:00:00:00 - Rule #918: 'l$1$9<-$3$8' accepted
0:00:00:00 - Rule #919: 'l$1$9<-$3$7' accepted
0:00:00:00 - Rule #920: 'l$1$9<-$3$6' accepted
0:00:00:00 - Rule #921: 'l$1$9<-$3$5' accepted
0:00:00:00 - Rule #922: 'l$1$9<-$3$4' accepted
0:00:00:00 - Rule #923: 'l$1$9<-$3$3' accepted
0:00:00:00 - Rule #924: 'l$1$9<-$3$2' accepted
0:00:00:00 - Rule #925: 'l$1$9<-$3$1' accepted
0:00:00:00 - Rule #926: 'l$1$9<-$3$0' accepted
0:00:00:00 - Rule #927: 'l$1$9<-$2$9' accepted
0:00:00:00 - Rule #928: 'l$1$9<-$2$8' accepted
0:00:00:00 - Rule #929: 'l$1$9<-$2$7' accepted
0:00:00:00 - Rule #930: 'l$1$9<-$2$6' accepted
0:00:00:00 - Rule #931: 'l$1$9<-$2$5' accepted
0:00:00:00 - Rule #932: 'l$1$9<-$2$4' accepted
0:00:00:00 - Rule #933: 'l$1$9<-$2$3' accepted
0:00:00:00 - Rule #934: 'l$1$9<-$2$2' accepted
0:00:00:00 - Rule #935: 'l$1$9<-$2$1' accepted
0:00:00:00 - Rule #936: 'l$1$9<-$2$0' accepted
0:00:00:00 - Rule #937: 'l$1$9<-$1$9' accepted
0:00:00:00 - Rule #938: 'l$1$9<-$1$8' accepted
0:00:00:00 - Rule #939: 'l$1$9<-$1$7' accepted
0:00:00:00 - Rule #940: 'l$1$9<-$1$6' accepted
0:00:00:00 - Rule #941: 'l$1$9<-$1$5' accepted
0:00:00:00 - Rule #942: 'l$1$9<-$1$4' accepted
0:00:00:00 - Rule #943: 'l$1$9<-$1$3' accepted
0:00:00:00 - Rule #944: 'l$1$9<-$1$2' accepted
0:00:00:00 - Rule #945: 'l$1$9<-$1$1' accepted
0:00:00:00 - Rule #946: 'l$1$9<-$1$0' accepted
0:00:00:00 - Rule #947: 'l$1$9<-$0$9' accepted
0:00:00:00 - Rule #948: 'l$1$9<-$0$8' accepted
0:00:00:00 - Rule #949: 'l$1$9<-$0$7' accepted
0:00:00:00 - Rule #950: 'l$1$9<-$0$6' accepted
0:00:00:00 - Rule #951: 'l$1$9<-$0$5' accepted
0:00:00:00 - Rule #952: 'l$1$9<-$0$4' accepted
0:00:00:00 - Rule #953: 'l$1$9<-$0$3' accepted
0:00:00:00 - Rule #954: 'l$1$9<-$0$2' accepted
0:00:00:00 - Rule #955: 'l$1$9<-$0$1' accepted
0:00:00:00 - Rule #956: 'l$1$9<-$0$0' accepted
0:00:00:00 - Processing the remaining buffered candidate passwords
0:00:00:00 Proceeding with wordlist mode
0:00:00:00 - Wordlist file: password.lst
0:00:00:00 - 57 preprocessed word mangling rules
0:00:00:00 - Rule #1: ':' accepted as ''
0:00:00:00 + Cracked test2
0:00:00:00 + Cracked test4
0:00:00:00 - Rule #2: '-c >3!?XlQ' accepted as '>3!?XlQ'
0:00:00:00 - Rule #3: '-c >2(?a!?XcQ' accepted as '>2(?a!?XcQ'
0:00:00:00 - Rule #4: '<*>2!?Alp' accepted
0:00:00:00 - Rule #5: '<*>2!?Al$1' accepted
0:00:00:00 - Rule #6: '-c <*>2!?Ac$1' accepted as '<*>2!?Ac$1'
0:00:00:00 - Rule #7: '<7>1!?Ald' accepted
0:00:00:00 - Rule #8: '>3!?AlMrQ' accepted
0:00:00:00 - Rule #9: '>2!?Al^1' accepted
0:00:00:00 - Rule #10: '-c >2!?XuQ' accepted as '>2!?XuQ'
0:00:00:00 - Rule #11: '<*>2!?Al$2' accepted
0:00:00:00 - Rule #12: '<*>2!?Al$!' accepted
0:00:00:00 - Rule #13: '<*>2!?Al$3' accepted
0:00:00:00 - Rule #14: '<*>2!?Al$7' accepted
0:00:00:00 - Rule #15: '<*>2!?Al$9' accepted
0:00:00:00 - Rule #16: '<*>2!?Al$5' accepted
0:00:00:00 - Rule #17: '<*>2!?Al$4' accepted
0:00:00:00 - Rule #18: '<*>2!?Al$8' accepted
0:00:00:00 - Rule #19: '<*>2!?Al$6' accepted
0:00:00:00 - Rule #20: '<*>2!?Al$0' accepted
0:00:00:00 - Rule #21: '<*>2!?Al$.' accepted
0:00:00:00 - Rule #22: '<*>2!?Al$?' accepted
0:00:00:00 - Rule #23: '/?p@?p>3l' accepted
0:00:00:00 - Rule #24: '/?v@?v>3l' accepted
0:00:00:00 - Rule #25: '/?w@?w>3l' accepted
0:00:00:00 - Rule #26: '-c <7>1!?Acd' accepted as '<7>1!?Acd'
0:00:00:00 - Rule #27: '-c <+>2!?Acr' accepted as '<+>2!?Acr'
0:00:00:00 - Rule #28: '-c >2!?AMrQc' accepted as '>2!?AMrQc'
0:00:00:00 - Rule #29: '<7>1!?AlMrQrf' accepted
0:00:00:00 - Rule #30: '-c <+>2!?AMrQcr' accepted as '<+>2!?AMrQcr'
0:00:00:00 - Rule #31: '>2!?Al^2' accepted
0:00:00:00 - Rule #32: '>2!?Al^4' accepted
0:00:00:00 - Rule #33: '-c <*>2!?Ac$2' accepted as '<*>2!?Ac$2'
0:00:00:00 - Rule #34: '-c <*>2!?Ac$!' accepted as '<*>2!?Ac$!'
0:00:00:00 - Rule #35: '-c <*>2!?Ac$3' accepted as '<*>2!?Ac$3'
0:00:00:00 - Rule #36: '-c <*>2!?Ac$9' accepted as '<*>2!?Ac$9'
0:00:00:00 - Rule #37: '-c <*>2!?Ac$5' accepted as '<*>2!?Ac$5'
0:00:00:00 - Rule #38: '-c <*>2!?Ac$7' accepted as '<*>2!?Ac$7'
0:00:00:00 - Rule #39: '-c <*>2!?Ac$4' accepted as '<*>2!?Ac$4'
0:00:00:00 - Rule #40: '-c <*>2!?Ac$6' accepted as '<*>2!?Ac$6'
0:00:00:00 - Rule #41: '-c <*>2!?Ac$8' accepted as '<*>2!?Ac$8'
0:00:00:00 - Rule #42: '-c <*>2!?Ac$.' accepted as '<*>2!?Ac$.'
0:00:00:00 - Rule #43: '-c <*>2!?Ac$?' accepted as '<*>2!?Ac$?'
0:00:00:00 - Rule #44: '-c <*>2!?Ac$0' accepted as '<*>2!?Ac$0'
0:00:00:00 - Rule #45: '>2!?Al^3' accepted
0:00:00:00 - Rule #46: '>2!?Al^7' accepted
0:00:00:00 - Rule #47: '>2!?Al^9' accepted
0:00:00:00 - Rule #48: '>2!?Al^5' accepted
0:00:00:00 - Rule #49: '>2!?Al^6' accepted
0:00:00:00 - Rule #50: '>2!?Al^8' accepted
0:00:00:00 - Rule #51: '-c <*>2!?Acp' accepted as '<*>2!?Acp'
0:00:00:00 - Rule #52: '<*>2!?AlP' accepted
0:00:00:00 - Rule #53: '<*>2!?AlI' accepted
0:00:00:00 - Rule #54: '-c <*>2!?AcP' accepted as '<*>2!?AcP'
0:00:00:00 - Rule #55: '-c <*>2!?AcI' accepted as '<*>2!?AcI'
0:00:00:00 - Rule #56: '-s x**' rejected
0:00:00:00 - Rule #57: '-s-c x**MlQ' rejected
0:00:00:00 Proceeding with "incremental" mode: All
0:00:00:00 - Lengths 0 to 8, up to 95 different characters
0:00:00:00 - Switching to length 4
0:00:00:00 - Expanding tables for length 4 to character count 1
0:00:00:00 - Trying length 4, fixed @1, character count 1
0:00:00:00 - Switching to length 5
0:00:00:00 - Expanding tables for length 5 to character count 1
0:00:00:00 - Trying length 5, fixed @1, character count 1
0:00:00:00 - Expanding tables for length 5 to character count 2
0:00:00:00 - Trying length 5, fixed @2, character count 2
0:00:00:00 - Switching to length 6
0:00:00:00 - Expanding tables for length 6 to character count 1
0:00:00:00 - Trying length 6, fixed @1, character count 1
0:00:00:00 - Expanding tables for length 6 to character count 2
0:00:00:00 - Trying length 6, fixed @1, character count 2
0:00:00:00 - Trying length 6, fixed @2, character count 2
0:00:00:00 - Trying length 6, fixed @3, character count 2
0:00:00:00 - Trying length 6, fixed @4, character count 2
0:00:00:00 - Trying length 6, fixed @5, character count 2
0:00:00:00 - Trying length 6, fixed @6, character count 2
0:00:00:00 - Switching to length 7
0:00:00:00 - Expanding tables for length 7 to character count 1
0:00:00:00 - Trying length 7, fixed @1, character count 1
0:00:00:00 - Switching to length 8
0:00:00:00 - Expanding tables for length 8 to character count 1
0:00:00:00 - Trying length 8, fixed @1, character count 1
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 1
0:00:00:00 - Trying length 3, fixed @1, character count 1
0:00:00:00 - Switching to length 4
0:00:00:00 - Expanding tables for length 4 to character count 2
0:00:00:00 - Trying length 4, fixed @2, character count 2
0:00:00:00 - Switching to length 5
0:00:00:00 - Expanding tables for length 5 to character count 2
0:00:00:00 - Trying length 5, fixed @1, character count 2
0:00:00:00 - Trying length 5, fixed @3, character count 2
0:00:00:00 - Trying length 5, fixed @4, character count 2
0:00:00:00 - Trying length 5, fixed @5, character count 2
0:00:00:00 - Switching to length 7
0:00:00:00 - Expanding tables for length 7 to character count 2
0:00:00:00 - Trying length 7, fixed @2, character count 2
0:00:00:00 - Trying length 7, fixed @3, character count 2
0:00:00:00 - Trying length 7, fixed @5, character count 2
0:00:00:00 - Switching to length 4
0:00:00:00 - Expanding tables for length 4 to character count 2
0:00:00:00 - Trying length 4, fixed @1, character count 2
0:00:00:00 - Trying length 4, fixed @3, character count 2
0:00:00:00 - Trying length 4, fixed @4, character count 2
0:00:00:00 - Switching to length 7
0:00:00:00 - Expanding tables for length 7 to character count 2
0:00:00:00 - Trying length 7, fixed @1, character count 2
0:00:00:00 - Trying length 7, fixed @4, character count 2
0:00:00:00 - Trying length 7, fixed @6, character count 2
0:00:00:00 - Trying length 7, fixed @7, character count 2
0:00:00:00 - Switching to length 8
0:00:00:00 - Expanding tables for length 8 to character count 2
0:00:00:00 - Trying length 8, fixed @2, character count 2
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 2
0:00:00:00 - Trying length 3, fixed @1, character count 2
0:00:00:00 - Trying length 3, fixed @2, character count 2
0:00:00:00 - Switching to length 8
0:00:00:00 - Expanding tables for length 8 to character count 2
0:00:00:00 - Trying length 8, fixed @1, character count 2
0:00:00:00 - Trying length 8, fixed @3, character count 2
0:00:00:00 - Trying length 8, fixed @6, character count 2
0:00:00:00 - Trying length 8, fixed @7, character count 2
0:00:00:00 - Trying length 8, fixed @8, character count 2
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 2
0:00:00:00 - Trying length 3, fixed @3, character count 2
0:00:00:00 - Switching to length 8
0:00:00:00 - Expanding tables for length 8 to character count 2
0:00:00:00 - Trying length 8, fixed @4, character count 2
0:00:00:00 - Trying length 8, fixed @5, character count 2
0:00:00:00 - Switching to length 6
0:00:00:00 - Expanding tables for length 6 to character count 3
0:00:00:00 - Trying length 6, fixed @2, character count 3
0:00:00:00 - Switching to length 5
0:00:00:00 - Expanding tables for length 5 to character count 3
0:00:00:00 - Trying length 5, fixed @2, character count 3
0:00:00:00 - Switching to length 4
0:00:00:00 - Expanding tables for length 4 to character count 3
0:00:00:00 - Trying length 4, fixed @2, character count 3
0:00:00:00 - Switching to length 6
0:00:00:00 - Expanding tables for length 6 to character count 3
0:00:00:00 - Trying length 6, fixed @3, character count 3
0:00:00:00 - Trying length 6, fixed @5, character count 3
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 3
0:00:00:00 - Trying length 3, fixed @2, character count 3
0:00:00:00 - Switching to length 5
0:00:00:00 - Expanding tables for length 5 to character count 3
0:00:00:00 - Trying length 5, fixed @5, character count 3
0:00:00:00 - Switching to length 6
0:00:00:00 - Expanding tables for length 6 to character count 3
0:00:00:00 - Trying length 6, fixed @4, character count 3
0:00:00:00 - Trying length 6, fixed @6, character count 3
0:00:00:00 - Switching to length 5
0:00:00:00 - Expanding tables for length 5 to character count 3
0:00:00:00 - Trying length 5, fixed @3, character count 3
0:00:00:00 - Trying length 5, fixed @4, character count 3
0:00:00:00 - Switching to length 2
0:00:00:00 - Expanding tables for length 2 to character count 1
0:00:00:00 - Trying length 2, fixed @1, character count 1
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 3
0:00:00:00 - Trying length 3, fixed @1, character count 3
0:00:00:00 - Switching to length 4
0:00:00:00 - Expanding tables for length 4 to character count 3
0:00:00:00 - Trying length 4, fixed @4, character count 3
0:00:00:00 - Switching to length 6
0:00:00:00 - Expanding tables for length 6 to character count 3
0:00:00:00 - Trying length 6, fixed @1, character count 3
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 3
0:00:00:00 - Trying length 3, fixed @3, character count 3
0:00:00:00 - Switching to length 4
0:00:00:00 - Expanding tables for length 4 to character count 3
0:00:00:00 - Trying length 4, fixed @1, character count 3
0:00:00:00 - Trying length 4, fixed @3, character count 3
0:00:00:00 - Switching to length 5
0:00:00:00 - Expanding tables for length 5 to character count 3
0:00:00:00 - Trying length 5, fixed @1, character count 3
0:00:00:00 - Switching to length 2
0:00:00:00 - Expanding tables for length 2 to character count 2
0:00:00:00 - Trying length 2, fixed @1, character count 2
0:00:00:00 - Switching to length 7
0:00:00:00 - Expanding tables for length 7 to character count 3
0:00:00:00 - Trying length 7, fixed @2, character count 3
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 4
0:00:00:00 - Trying length 3, fixed @1, character count 4
0:00:00:00 - Trying length 3, fixed @2, character count 4
0:00:00:00 - Trying length 3, fixed @3, character count 4
0:00:00:00 - Switching to length 4
0:00:00:00 - Expanding tables for length 4 to character count 4
0:00:00:00 - Trying length 4, fixed @2, character count 4
0:00:00:00 - Switching to length 1
0:00:00:00 - Expanding tables for length 1 to character count 1
0:00:00:00 - Trying length 1, fixed @1, character count 1
0:00:00:00 - Switching to length 5
0:00:00:00 - Expanding tables for length 5 to character count 4
0:00:00:00 - Trying length 5, fixed @2, character count 4
0:00:00:00 - Switching to length 7
0:00:00:00 - Expanding tables for length 7 to character count 3
0:00:00:00 - Trying length 7, fixed @5, character count 3
0:00:00:00 - Switching to length 1
0:00:00:00 - Expanding tables for length 1 to character count 2
0:00:00:00 - Trying length 1, fixed @1, character count 2
0:00:00:00 - Switching to length 2
0:00:00:00 - Expanding tables for length 2 to character count 2
0:00:00:00 - Trying length 2, fixed @2, character count 2
0:00:00:00 - Switching to length 7
0:00:00:00 - Expanding tables for length 7 to character count 3
0:00:00:00 - Trying length 7, fixed @3, character count 3
0:00:00:00 - Switching to length 6
0:00:00:00 - Expanding tables for length 6 to character count 4
0:00:00:00 - Trying length 6, fixed @2, character count 4
0:00:00:00 - Switching to length 7
0:00:00:00 - Expanding tables for length 7 to character count 3
0:00:00:00 - Trying length 7, fixed @6, character count 3
0:00:00:00 - Switching to length 4
0:00:00:00 - Expanding tables for length 4 to character count 4
0:00:00:00 - Trying length 4, fixed @3, character count 4
0:00:00:00 - Trying length 4, fixed @4, character count 4
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 5
0:00:00:00 - Trying length 3, fixed @1, character count 5
0:00:00:00 - Switching to length 4
0:00:00:00 - Expanding tables for length 4 to character count 4
0:00:00:00 - Trying length 4, fixed @1, character count 4
0:00:00:00 - Switching to length 7
0:00:00:00 - Expanding tables for length 7 to character count 3
0:00:00:00 - Trying length 7, fixed @7, character count 3
0:00:00:00 - Switching to length 5
0:00:00:00 - Expanding tables for length 5 to character count 4
0:00:00:00 - Trying length 5, fixed @5, character count 4
0:00:00:00 - Switching to length 1
0:00:00:00 - Expanding tables for length 1 to character count 3
0:00:00:00 - Trying length 1, fixed @1, character count 3
0:00:00:00 - Switching to length 2
0:00:00:00 - Expanding tables for length 2 to character count 3
0:00:00:00 - Trying length 2, fixed @1, character count 3
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 5
0:00:00:00 - Trying length 3, fixed @3, character count 5
0:00:00:00 - Switching to length 7
0:00:00:00 - Expanding tables for length 7 to character count 3
0:00:00:00 - Trying length 7, fixed @4, character count 3
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 5
0:00:00:00 - Trying length 3, fixed @2, character count 5
0:00:00:00 - Switching to length 7
0:00:00:00 - Expanding tables for length 7 to character count 3
0:00:00:00 - Trying length 7, fixed @1, character count 3
0:00:00:00 - Switching to length 5
0:00:00:00 - Expanding tables for length 5 to character count 4
0:00:00:00 - Trying length 5, fixed @3, character count 4
0:00:00:00 - Switching to length 6
0:00:00:00 - Expanding tables for length 6 to character count 4
0:00:00:00 - Trying length 6, fixed @5, character count 4
0:00:00:00 - Trying length 6, fixed @6, character count 4
0:00:00:00 - Switching to length 5
0:00:00:00 - Expanding tables for length 5 to character count 4
0:00:00:00 - Trying length 5, fixed @4, character count 4
0:00:00:00 - Switching to length 6
0:00:00:00 - Expanding tables for length 6 to character count 4
0:00:00:00 - Trying length 6, fixed @3, character count 4
0:00:00:00 - Trying length 6, fixed @4, character count 4
0:00:00:00 - Switching to length 5
0:00:00:00 - Expanding tables for length 5 to character count 4
0:00:00:00 - Trying length 5, fixed @1, character count 4
0:00:00:00 - Switching to length 2
0:00:00:00 - Expanding tables for length 2 to character count 3
0:00:00:00 - Trying length 2, fixed @2, character count 3
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 6
0:00:00:00 - Trying length 3, fixed @1, character count 6
0:00:00:00 - Switching to length 6
0:00:00:00 - Expanding tables for length 6 to character count 4
0:00:00:00 - Trying length 6, fixed @1, character count 4
0:00:00:00 - Switching to length 1
0:00:00:00 - Expanding tables for length 1 to character count 4
0:00:00:00 - Trying length 1, fixed @1, character count 4
0:00:00:00 - Expanding tables for length 1 to character count 5
0:00:00:00 - Trying length 1, fixed @1, character count 5
0:00:00:00 - Expanding tables for length 1 to character count 6
0:00:00:00 - Trying length 1, fixed @1, character count 6
0:00:00:00 - Expanding tables for length 1 to character count 7
0:00:00:00 - Trying length 1, fixed @1, character count 7
0:00:00:00 - Expanding tables for length 1 to character count 8
0:00:00:00 - Trying length 1, fixed @1, character count 8
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 6
0:00:00:00 - Trying length 3, fixed @3, character count 6
0:00:00:00 - Switching to length 2
0:00:00:00 - Expanding tables for length 2 to character count 4
0:00:00:00 - Trying length 2, fixed @1, character count 4
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 6
0:00:00:00 - Trying length 3, fixed @2, character count 6
0:00:00:00 - Switching to length 8
0:00:00:00 - Expanding tables for length 8 to character count 3
0:00:00:00 - Trying length 8, fixed @2, character count 3
0:00:00:00 - Switching to length 4
0:00:00:00 - Expanding tables for length 4 to character count 5
0:00:00:00 - Trying length 4, fixed @2, character count 5
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 7
0:00:00:00 - Trying length 3, fixed @1, character count 7
0:00:00:00 - Switching to length 4
0:00:00:00 - Expanding tables for length 4 to character count 5
0:00:00:00 - Trying length 4, fixed @3, character count 5
0:00:00:00 - Trying length 4, fixed @4, character count 5
0:00:00:00 - Trying length 4, fixed @1, character count 5
0:00:00:00 - Switching to length 1
0:00:00:00 - Expanding tables for length 1 to character count 9
0:00:00:00 - Trying length 1, fixed @1, character count 9
0:00:00:00 - Expanding tables for length 1 to character count 10
0:00:00:00 - Trying length 1, fixed @1, character count 10
0:00:00:00 - Expanding tables for length 1 to character count 11
0:00:00:00 - Trying length 1, fixed @1, character count 11
0:00:00:00 - Switching to length 2
0:00:00:00 - Expanding tables for length 2 to character count 5
0:00:00:00 - Trying length 2, fixed @1, character count 5
0:00:00:00 - Trying length 2, fixed @2, character count 4
0:00:00:00 - Switching to length 8
0:00:00:00 - Expanding tables for length 8 to character count 3
0:00:00:00 - Trying length 8, fixed @6, character count 3
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 7
0:00:00:00 - Trying length 3, fixed @3, character count 7
0:00:00:00 - Trying length 3, fixed @2, character count 7
0:00:00:00 - Switching to length 8
0:00:00:00 - Expanding tables for length 8 to character count 3
0:00:00:00 - Trying length 8, fixed @3, character count 3
0:00:00:00 - Switching to length 2
0:00:00:00 - Expanding tables for length 2 to character count 6
0:00:00:00 - Trying length 2, fixed @1, character count 6
0:00:00:00 - Switching to length 3
0:00:00:00 - Expanding tables for length 3 to character count 8
0:00:00:00 - Trying length 3, fixed @1, character count 8
0:00:00:00 - Switching to length 8
0:00:00:01 - Expanding tables for length 8 to character count 3
0:00:00:01 - Trying length 8, fixed @5, character count 3
0:00:00:01 - Switching to length 5
0:00:00:01 - Expanding tables for length 5 to character count 5
0:00:00:01 - Trying length 5, fixed @5, character count 5
0:00:00:01 - Switching to length 8
0:00:00:01 - Expanding tables for length 8 to character count 3
0:00:00:01 - Trying length 8, fixed @4, character count 3
0:00:00:01 - Switching to length 2
0:00:00:01 - Expanding tables for length 2 to character count 5
0:00:00:01 - Trying length 2, fixed @2, character count 5
0:00:00:01 - Switching to length 5
0:00:00:01 - Expanding tables for length 5 to character count 5
0:00:00:01 - Trying length 5, fixed @2, character count 5
0:00:00:01 - Switching to length 8
0:00:00:01 - Expanding tables for length 8 to character count 3
0:00:00:01 - Trying length 8, fixed @7, character count 3
0:00:00:01 - Trying length 8, fixed @8, character count 3
0:00:00:01 - Trying length 8, fixed @1, character count 3
0:00:00:01 - Switching to length 5
0:00:00:01 - Expanding tables for length 5 to character count 5
0:00:00:01 - Trying length 5, fixed @3, character count 5
0:00:00:01 - Switching to length 1
0:00:00:01 - Expanding tables for length 1 to character count 12
0:00:00:01 - Trying length 1, fixed @1, character count 12
0:00:00:01 - Expanding tables for length 1 to character count 13
0:00:00:01 - Trying length 1, fixed @1, character count 13
0:00:00:01 - Expanding tables for length 1 to character count 14
0:00:00:01 - Trying length 1, fixed @1, character count 14
0:00:00:01 - Expanding tables for length 1 to character count 15
0:00:00:01 - Trying length 1, fixed @1, character count 15
0:00:00:01 - Expanding tables for length 1 to character count 16
0:00:00:01 - Trying length 1, fixed @1, character count 16
0:00:00:01 - Expanding tables for length 1 to character count 17
0:00:00:01 - Trying length 1, fixed @1, character count 17
0:00:00:01 - Expanding tables for length 1 to character count 18
0:00:00:01 - Trying length 1, fixed @1, character count 18
0:00:00:01 - Expanding tables for length 1 to character count 19
0:00:00:01 - Trying length 1, fixed @1, character count 19
0:00:00:01 - Expanding tables for length 1 to character count 20
0:00:00:01 - Trying length 1, fixed @1, character count 20
0:00:00:01 - Expanding tables for length 1 to character count 21
0:00:00:01 - Trying length 1, fixed @1, character count 21
0:00:00:01 - Switching to length 3
0:00:00:01 - Expanding tables for length 3 to character count 8
0:00:00:01 - Trying length 3, fixed @3, character count 8
0:00:00:01 - Switching to length 5
0:00:00:01 - Expanding tables for length 5 to character count 5
0:00:00:01 - Trying length 5, fixed @4, character count 5
0:00:00:01 - Switching to length 2
0:00:00:01 - Expanding tables for length 2 to character count 7
0:00:00:01 - Trying length 2, fixed @1, character count 7
0:00:00:01 - Switching to length 3
0:00:00:01 - Expanding tables for length 3 to character count 8
0:00:00:01 - Trying length 3, fixed @2, character count 8
0:00:00:01 - Switching to length 2
0:00:00:01 - Expanding tables for length 2 to character count 6
0:00:00:01 - Trying length 2, fixed @2, character count 6
0:00:00:01 - Switching to length 4
0:00:00:01 - Expanding tables for length 4 to character count 6
0:00:00:01 - Trying length 4, fixed @2, character count 6
0:00:00:01 - Switching to length 3
0:00:00:01 - Expanding tables for length 3 to character count 9
0:00:00:01 - Trying length 3, fixed @1, character count 9
0:00:00:01 - Switching to length 4
0:00:00:01 - Expanding tables for length 4 to character count 6
0:00:00:01 - Trying length 4, fixed @4, character count 6
0:00:00:01 - Trying length 4, fixed @3, character count 6
0:00:00:01 - Switching to length 5
0:00:00:01 - Expanding tables for length 5 to character count 5
0:00:00:01 - Trying length 5, fixed @1, character count 5
0:00:00:01 - Switching to length 7
0:00:00:01 - Expanding tables for length 7 to character count 4
0:00:00:01 - Trying length 7, fixed @2, character count 4
0:00:00:01 - Switching to length 2
0:00:00:01 - Expanding tables for length 2 to character count 8
0:00:00:01 - Trying length 2, fixed @1, character count 8
0:00:00:01 - Switching to length 6
0:00:00:01 - Expanding tables for length 6 to character count 5
0:00:00:01 - Trying length 6, fixed @2, character count 5
0:00:00:01 - Trying length 6, fixed @6, character count 5
0:00:00:01 - Switching to length 4
0:00:00:01 - Expanding tables for length 4 to character count 6
0:00:00:01 - Trying length 4, fixed @1, character count 6
0:00:00:01 - Switching to length 3
0:00:00:01 - Expanding tables for length 3 to character count 9
0:00:00:01 - Trying length 3, fixed @3, character count 9
0:00:00:01 - Switching to length 2
0:00:00:01 - Expanding tables for length 2 to character count 7
0:00:00:01 - Trying length 2, fixed @2, character count 7
0:00:00:01 - Switching to length 3
0:00:00:01 - Expanding tables for length 3 to character count 9
0:00:00:01 - Trying length 3, fixed @2, character count 9
0:00:00:01 - Switching to length 6
0:00:00:01 - Expanding tables for length 6 to character count 5
0:00:00:01 - Trying length 6, fixed @3, character count 5
0:00:00:01 - Switching to length 3
0:00:00:01 - Expanding tables for length 3 to character count 10
0:00:00:01 - Trying length 3, fixed @1, character count 10
0:00:00:01 - Switching to length 6
0:00:00:01 - Expanding tables for length 6 to character count 5
0:00:00:01 - Trying length 6, fixed @4, character count 5
0:00:00:01 - Trying length 6, fixed @5, character count 5
0:00:00:01 - Trying length 6, fixed @1, character count 5
0:00:00:01 - Switching to length 2
0:00:00:01 - Expanding tables for length 2 to character count 8
0:00:00:01 - Trying length 2, fixed @2, character count 8
0:00:00:01 - Switching to length 3
0:00:00:01 - Expanding tables for length 3 to character count 10
0:00:00:01 - Trying length 3, fixed @3, character count 10
0:00:00:01 - Switching to length 2
0:00:00:01 - Expanding tables for length 2 to character count 9
0:00:00:01 - Trying length 2, fixed @1, character count 9
0:00:00:01 - Trying length 2, fixed @2, character count 9
0:00:00:01 - Switching to length 4
0:00:00:01 - Expanding tables for length 4 to character count 7
0:00:00:01 - Trying length 4, fixed @2, character count 7
0:00:00:01 - Trying length 4, fixed @4, character count 7
0:00:00:01 - Switching to length 1
0:00:00:01 - Expanding tables for length 1 to character count 22
0:00:00:01 - Trying length 1, fixed @1, character count 22
0:00:00:01 - Expanding tables for length 1 to character count 23
